"39%","XP (before v21.0)","XP","Puzzle_ID:Puzzle_name","Author","Size","Category 1","Category 2","Puzzle type","Added"
"","4141","3796","[#190781:Tiger]","K0rv0","80x80","Animals","","","93"
"","4352","3990","[#92743:Gohan]","Jagarciabo","80x80","Anime","Super","","94"
"","4205","3854","[#179958:Sumerian King]","Anowyn","80x80","People","History","","95"
"","3045","3045","[#184324:Twi'lek for JodeStar]","Nononoobie","80x80","Fiction","Unreal","","96"
"","3228","3228","[#189025:Puddle Jumper]","Nononoobie","80x80","Fiction","Space","","97"
"","3921","3921","[#107208:Zebra (Grayscale)]","Dimsum","80x70","Animals","Photorealism","","98"
"","3530","3258","[#120393:Maynard J Keenan]","TaraRise","79x79","People","Photorealism","","99"
"","3298","3024","[#191957:Castlevania]","GravityGuava","80x80","Video","Fantasy","","100"
"","3242","3242","[#191992:Tony Montana - Scarface]","Late555","80x80","Movies","Photorealism","","101"
"","3482","3192","[#94110:Mecha - 06b]","Schaetzli","77x80","Fiction","","","102"
"","3353","3353","[#164827:Pattern OO151]","Mikolaj01","80x80","Designs","","","103"
"","3084","3084","[#173505:Wheat Paisley (054)]","Stillfleet","80x80","Designs","","","104"
"","4133","3788","[#112675:Old warship]","Marianne1979","80x80","Ships","Weapons","","105"
"","3069","3069","[#102878:Eliomys_quercinus]","Haggis the Rainbowsheep","80x80","Animals","","","106"
"","3136","2875","[#117837:Clover]","Iriegi","80x80","Video","","","107"
"","3004","3004","[#156339:+++Squares 118]","kata57","80x80","Designs","","","108"
"","3005","2755","[#191545:JoJo's Bizarre Adventure - IGGY]","ayakasumiria","80x80","Anime","Dogs","","109"
"","3038","2785","[#141343:VW bus]","SilverFox","80x80","Around","Adventures","","110"
"","3269","2996","[#163115:Angora Wat]","Richardiii","80x80","Houses","History","","111"
"","3192","2946","[#162475:CoCo, the beginning]","Trice","80x79","Dogs","","","112"
"","3536","3536","[#187106:Dead tree with vines]","WalkingDisaster","80x80","Plants","","","113"
"","3461","3173","[#175032:Neopets - Krawk Island]","msjanny","80x80","Video","Symbols","","114"
"","3024","2791","[#191773:The God of Fortune]","K0rv0","80x80","Kawaii","Unreal","","115"
"","3351","3072","[#189736:Shukurov]","Olga Shikuta","80x80","People","Sport","","116"
"","3014","2762","[#172580:Huntress dbd]","Lola21","80x80","Video","","","117"
"","3323","3046","[#159880:Life Dragon]","AshenThrone","80x80","Fantasy","Dragons","","118"
"","3220","3220","[#173521:Marinette Dupain-Cheng]","DGTheMii","80x80","Cartoon","People","","119"
"","3177","2912","[#190292:Pokemon Fusion]","FuryBreaker","68x76","Video","Super","","120"
"","3451","3451","[#87181:Heart]","Rina1811","75x80","Love","","","121"
"","3028","3028","[#60793:Jeep]","Alexroma5","80x65","Transport","","","122"
"","3058","2803","[#27031:Lugia]","Kim Beattie","80x80","Super","","","123"
"","3009","3009","[#32263:Mega Charizard X]","Sydybean","80x80","Super","","","124"
"","3092","3092","[#80952:Toxic zebra]","Marco818","80x65","Fantasy","Animals","None","125"
"","3244","3244","[#170749:Pattern]","SOP","80x80","Designs","","","126"
"","3451","3451","[#72225:Nemophila]","minkimandola","80x80","Flowers","","","127"
"","3435","3170","[#186383:KIX sorayan]","koiki","70x80","Adventures","Transport","","128"
"","3537","3537","[#103802:Mantis]","akjaZ","80x80","Insects","","","129"
"","3021","3021","[#178450:Pattern 331]","Irene 009","80x80","Designs","","","130"
"","3661","3661","[#191794:Braveheart]","Late555","80x80","Movies","People","","131"
"","4704","4312","[#191128:Ice and Snow World]","K0rv0","80x80","Nature","","","132"
"","3941","3612","[#192100:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","133"
"","3486","3486","[#191959:Interstellar]","Late555","80x80","Movies","People","","134"
"","3312","3312","[#192033:Drive]","Late555","80x80","Movies","People","","135"
"","3303","3303","[#32273:Shiny Scolipede]","Sydybean","80x80","Super","","","136"
"","3458","3458","[#180869:sickle and weasel]","K3915","80x80","Unreal","Japan","","137"
"","3785","3785","[#156624:Solar Eclipse]","Kasarz","80x80","Space","","","138"
"","3337","3059","[#96923:Orchid]","DraKay","80x72","Flowers","","","139"
"","3283","3283","[#155775:EraseMeNot 002]","kata57","80x80","Designs","","","140"
"","3239","3239","[#170792:Earth and moon]","placebo42","80x80","Space","Photorealism","","141"
"","3493","3493","[#149646:Mei and Satsuki grow trees (Ghibli)]","Lysy Jan FOX","80x80","Anime","","","142"
"","4025","4025","[#164220:Pattern OO141]","Mikolaj01","80x80","Designs","","","143"
"","3381","3121","[#28810:Jolteon]","Sephrenia","80x80","Super","","","144"
"","3240","3240","[#55788:Vocaloid]","Auruven","80x80","Anime","Music","","145"
"","3445","3445","[#116254:Green plant]","Marianne1979","80x80","Plants","Photorealism","","146"
"","3606","3329","[#163978:Spindasis kuyanianus]","Schaetzli","79x80","Insects","","","147"
"","3064","3064","[#123602:Garlic]","minkimandola","80x80","Plants","","","148"
"","4041","3704","[#186185:Pokemon Fusion]","FuryBreaker","73x80","Video","Super","","149"
"","3235","2965","[#87026:Kantai collection]","LordOfChaos69","80x76","Anime","","","150"
"","3241","2992","[#94306:Stich]","DraKay","80x80","Cartoon","Unreal","","151"
"","3491","3491","[#167676:Squares]","Nomase","80x80","Designs","","","152"
"","3017","3017","[#190889:Double helix (DNA)]","Late555","80x80","Science","","","153"
"","3882","3559","[#176661:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","154"
"","3308","3033","[#185225:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","155"
"","3781","3466","[#178133:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","156"
"","3272","3000","[#186785:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","157"
"","3497","3228","[#176095:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","158"
"","3580","3580","[#187608:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","159"
"","3263","3263","[#185986:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","160"
"","4166","3818","[#180117:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","161"
"","3236","3236","[#181592:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","162"
"","4026","4026","[#184374:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","163"
"","3697","3697","[#182944:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","164"
"","3475","3185","[#183294:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","165"
"","4968","4586","[#187607:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","166"
"","3278","3005","[#175607:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","167"
"","4045","3708","[#179829:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","168"
"","3098","3098","[#179178:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","169"
"","3018","3018","[#185580:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","170"
"","3232","2962","[#185128:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","171"
"","3629","3629","[#188606:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","172"
"","3575","3300","[#178261:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","173"
"","3542","3542","[#186698:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","174"
"","4734","4370","[#175950:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","175"
"","3549","3253","[#179321:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","176"
"","3889","3565","[#192098:Pokemon Fusion]","FuryBreaker","76x80","Video","Super","","177"
"","4113","3771","[#179175:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","178"
"","3566","3566","[#184121:28 Pit (SSBU)]","GravityGuava","80x80","Video","Unreal","","179"
"","3174","3174","[#152828:+++Squares 70]","kata57","80x80","Designs","","","180"
"","3743","3743","[#192062:Thelma and Louise]","Late555","80x80","Movies","Photorealism","","181"
"","3776","3461","[#45247:I love my profession]","RNKT16","80x80","People","Science","","182"
"","3113","3113","[#167670:O for Octopus]","kristin1973","80x77","Fish","Symbols","None","183"
"","3154","2892","[#83963:Aussie-Dex - 103 - Reeef]","Schaetzli","80x69","Unreal","","","184"
"","3719","3409","[#188697:Lgloo]","K0rv0","80x80","Nature","Houses","","185"
"","3260","2988","[#159402:Moonlight raven]","RNKT16","79x75","Birds","Twilight","","186"
"","3531","3531","[#189514:Poinsettias]","RNKT16","65x80","Flowers","Holidays","","187"
"","3841","3521","[#190273:birds]","K0rv0","80x80","Birds","Flowers","","188"
"","3892","3593","[#186940:Kiss]","K0rv0","80x80","People","Love","","189"
"","3887","3887","[#190911:Flowers]","K0rv0","80x80","Flowers","","","190"
"","4748","4383","[#190830:Flowers]","K0rv0","80x80","Flowers","","","191"
"","3680","3397","[#190373:Flowers]","K0rv0","80x80","Flowers","","","192"
"","3724","3438","[#190347:Butterflies]","K0rv0","80x80","Insects","Flowers","","193"
"","3771","3771","[#141154:Tim Burton]","TaraRise","80x80","People","Photorealism","","194"
"","3815","3815","[#186109:Oriole]","K0rv0","80x80","Birds","Flowers","","195"
"","4217","3865","[#177775:Hikari]","ohihi","80x80","Anime","Video","","196"
"","3049","3049","[#111869:Bonsai in pot -autumn leaves]","milli_s","80x80","Plants","Japan","","197"
"","3614","3614","[#157522:Tentacles]","kristin1973","80x80","Fish","","","198"
"","5033","4614","[#184295:Husky]","Lisenok_chiffa","80x80","Dogs","Photorealism","","199"
"","3132","3132","[#165767:Pattern n]","Lolly","80x80","Designs","","","200"
"","3061","2806","[#47345:Sailor Moon]","Friia","80x80","Anime","Cats","","201"
"","3180","2915","[#192409:cross-stitch]","cross_stitch","80x80","Animals","Plants","","202"
"","3904","3904","[#95703:Girl with blue eyes]","Huguee","80x80","Anime","People","","203"
"","3281","3028","[#192247:Jojo's Bizarre Adventure - M,Avdol]","ayakasumiria","80x77","Anime","","","204"
"","3153","3153","[#192411:Jojo's Bizarre Adventur - J.P. Polnareff]","ayakasumiria","80x80","Anime","","","205"
"","3626","3626","[#189014:66 Simon (SSBU)]","GravityGuava","70x80","Video","People","","206"
"","3492","3201","[#190495:Fallen - Evanescence]","DGTheMii","80x80","Symbols","Music","","207"
"","3074","2818","[#155946:Sweet home]","DiDi_1280","80x80","Nature","Houses","","208"
"","3871","3549","[#125729:Astronaut]","duchau.vjp_pr0","80x80","People","Space","","209"
"","4089","4089","[#163786:Bird in a tree]","RNKT16","80x80","Birds","","","210"
"","3154","3154","[#169509:Magnolia]","RNKT16","80x65","Flowers","","","211"
"","3048","2794","[#190372:Roses]","K0rv0","80x80","Flowers","","","212"
"","5113","4687","[#152359:Turdus pilaris]","Sophie12","80x80","Birds","Photorealism","","213"
"","3101","2842","[#183078:house with red doors]","emmm","80x80","Houses","Photorealism","","214"
"","3787","3471","[#187530:Flowers]","K0rv0","80x80","Flowers","","","215"
"","4255","3900","[#189194:Flowers]","K0rv0","80x80","Flowers","","","216"
"","4817","4416","[#92766:Giraffes]","lika_ka_13","80x80","Animals","Photorealism","","217"
"","3263","2992","[#93281:Cheetah]","Jagarciabo","80x80","Animals","Photorealism","","218"
"","4747","4382","[#104534:Flower wreath]","Haggis the Rainbowsheep","80x80","Flowers","","","219"
"","4158","3812","[#186066:Snowscape]","K0rv0","80x80","Birds","Nature","","220"
"","3685","3685","[#178162:Vine and grapes]","Irene 009","80x80","Plants","","","221"
"","3110","3110","[#137297:Pumpkin mousse]","Osoca","80x80","Food","","","222"
"","3190","3190","[#178460:Pattern 332]","Irene 009","80x80","Designs","","","223"
"","3471","3181","[#192126:Ogon' pod vodoi]","fixayn","70x74","Fish","","","224"
"","5024","4638","[#149122:Judy Garland]","kristin1973","80x80","People","Photorealism","","225"
"","4201","3851","[#33551:Shiny Ho-Oh]","Sydybean","80x80","Super","","","226"
"","3430","3166","[#192513:Wonder woman(bimbo]","meowing","80x80","Cartoon","Super","","227"
"","4059","3721","[#180318:Night campfire in the forest]","solar26","80x80","Nature","Twilight","","228"
"","3995","3662","[#186257:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","229"
"","3833","3514","[#188558:Gravity]","vali-93","80x80","Space","Science","","230"
"","4143","3824","[#185127:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","231"
"","3803","3486","[#36381:Earth]","L E B lll A","80x80","Horoscope","","","232"
"","4540","4191","[#135306:Ship]","Jan Kokto","80x80","Ships","","","233"
"","5499","5076","[#141980:raineoseu]","sia02","80x80","Anime","","","234"
"","5122","4728","[#149395:Flying ship]","DraKay","80x80","Ships","Transport","","235"
"","4338","3976","[#104376:James Hetfield]","Akorna","80x80","People","Photorealism","","236"
"","3166","3166","[#88234:The Joker]","Dracob","80x80","Movies","People","","237"
"","5335","4925","[#164096:Christine McVie]","kristin1973","80x80","People","Photorealism","","238"
"","3132","3132","[#185404:Lemon Tree]","Mike1955","80x80","Plants","","","239"
"","3871","3573","[#187606:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","240"
"","3659","3354","[#82198:Hyena Trio Lion King]","RavyBirgerss","70x80","Cartoon","","","241"
"","4375","4010","[#170619:Phoenix]","Kasarz","80x80","Unreal","Birds","","242"
"","5139","4711","[#189769:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","243"
"","3946","3642","[#191274:historic ivrea carnival]","govons","80x80","Around","Symbols","","244"
"","3962","3632","[#134017:Lady Death]","Jan Kokto","80x80","Fiction","People","","245"
"","3886","3886","[#189013:65 Ridley (SSBU)]","GravityGuava","80x75","Video","Dragons","","246"
"","3687","3687","[#184012:25 Roy (SSBU)]","GravityGuava","70x80","Video","Fantasy","","247"
"","3389","3389","[#184395:32 Ike (SSBU)]","GravityGuava","75x80","Video","Fantasy","","248"
"","3797","3481","[#189093:76 Min Min (SSBU)]","GravityGuava","80x75","Video","","","249"
"","3816","3816","[#188604:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","250"
"","3638","3358","[#187766:Pokemon Fusion]","FuryBreaker","74x72","Video","Super","","251"
"","3808","3808","[#189694:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","252"
"","3682","3399","[#187761:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","253"
"","3293","3293","[#179322:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","254"
"","3611","3611","[#189719:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","255"
"","3661","3356","[#186053:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","256"
"","3922","3595","[#190043:Stella]","Auruven","80x80","Cartoon","Fantasy","","257"
"","4075","3736","[#162123:Little girl clown]","kristin1973","80x80","People","","","258"
"","4149","3803","[#189445:Snake]","Mahla","80x71","Animals","","","259"
"","3632","3632","[#190332:Cat]","K0rv0","80x80","Cats","Flowers","","260"
"","3777","3462","[#167435:Avengers Assemble]","MaddieMooKittern","80x80","Kawaii","Super","","261"
"","3532","3532","[#179314:MikkianTwin Jedi MasterTiplee]","JodeStar","80x80","Movies","Fiction","","262"
"","3250","3250","[#185294:the goddess of arts]","K3915","80x80","Fantasy","History","","263"
"","3538","3538","[#189465:Puzzle 4]","aging69","80x80","Games","","","264"
"","3667","3385","[#10220:Gyarados]","susanlily","78x76","Super","","","265"
"","3618","3618","[#173087:Composition DX]","Urszula","80x80","Designs","","","266"
"","3516","3516","[#163644:Squares CLXVII]","Urszula","80x80","Designs","","","267"
"","3338","3338","[#173062:Peacock Paisley (046)]","Stillfleet","80x80","Designs","","","268"
"","3239","3239","[#172316:Rainy Day]","AshenThrone","80x80","Nature","","","269"
"","3309","3309","[#172578:Quartz Flower Design (052)]","Stillfleet","80x80","Designs","","","270"
"","3791","3499","[#192594:Bimbo (ahegao]","meowing","80x80","Cartoon","People","","271"
"","3707","3398","[#172705:Tetris]","isadus","80x80","Video","","","272"
"","3442","3442","[#89356:Clown (Spawn)]","Zombiebassman","68x80","Cartoon","Super","","273"
"","3787","3495","[#172176:How I remember London underground map]","The Crossblade","80x80","Around","","","274"
"","3762","3762","[#93983:Azalea]","Tohma8128","80x80","Anime","Painting","","275"
"","3469","3469","[#192543:Pokemon Fusion]","FuryBreaker","80x80","Video","Super","","276"
"","3203","3203","[#170780:Gold and Teal Pattern (044)]","Stillfleet","80x80","Designs","","","277"
"","3837","3517","[#191911:Pokemon Fusion]","FuryBreaker","80x73","Video","Super","","278"
"","3808","3491","[#192542:Pokemon Fusion]","FuryBreaker","78x80","Video","Super","","279"
"","4805","4436","[#170467:Saturn]","placebo42","80x80","Space","Photorealism","","280"
"","3201","3201","[#170078:Mosaic 12]","aging69","80x80","Flowers","Designs","","281"
"","3375","3375","[#169948:(magdalena bay's album cover)]","cloves","80x80","Painting","Music","","282"
"","3412","3412","[#174317:Demogorgon killer dead by daylight]","Lola21","80x80","Video","Unreal","","283"
"","3290","3290","[#192541:Pokemon Fusion]","FuryBreaker","72x72","Video","Super","","284"
"","3626","3626","[#190712:Neon kitty]","ScintillantB","80x80","Cats","","","285"
"","4749","4749","[#170354:Teinopalpus imperialis]","akjaZ","80x80","Insects","Photorealism","","286"
"","4700","4308","[#98455:Fang(cut)(Contra:Hard-Corps)]","guiroliang","75x80","Video","","","287"
"","3036","3036","[#90006:Gray Fullbuster]","yukichi","80x80","Anime","","","288"
"","3066","2831","[#101721:Qing Ri Dao]","guiroliang","77x79","Video","Weapons","","289"
"","4125","4125","[#141983:mangnaniPD aidolro salanamgi(seohoyun)]","sia02","80x80","People","Photorealism","","290"
"","4195","3846","[#101162:Dong Huang Bao Jia]","guiroliang","80x80","Video","Clothes","","291"
"","4042","4042","[#142230:Dalmatian]","izi","80x80","Dogs","Photorealism","","292"
"","3336","3336","[#96837:Old clock mechanism]","DraKay","80x80","Machines","","","293"
"","4067","4067","[#119134:Colorful tree]","AnnaBanana","80x80","Fantasy","Plants","","294"
"","3455","3190","[#122099:Scaled And Icy]","Ann.","80x80","Symbols","Music","","295"
"","4536","4158","[#128647:Butterflies in the garden 8]","Monak","80x80","Insects","Flowers","","296"
"","4785","4386","[#179511:Nature]","irazawa","80x80","Nature","Photorealism","","297"
"","4216","3865","[#183550:Pantera negra]","iceeydasartes","80x80","Cats","","","298"
"","4080","3740","[#81304:Darth Vader]","Marco818","80x80","Movies","Fiction","","299"
"","4324","3964","[#190301:Huskies]","K0rv0","80x80","Dogs","","","300"
"","3528","3528","[#139940:Baby Yoda]","Spike","80x80","Fiction","Unreal","","301"
"","3716","3716","[#184929:Ceremonials]","Ahmad Hisham","80x80","People","Music","","302"
"","3961","3657","[#55969:Dragon eye 2]","RNKT16","80x80","Dragons","","","303"
"","4059","4059","[#112633:Dark Star Orianna]","o.4Noob1s.o","80x80","Video","Photorealism","","304"
"","3258","3007","[#158340:Moon Lady]","daisy.","80x80","People","Twilight","","305"
"","3115","3115","[#158754:Crow]","irazawa","80x80","Birds","","","306"
"","3629","3350","[#159183:Asuka]","Kusuka","80x80","Anime","","","307"
"","4454","4083","[#98361:Ray(cut)(Contra:Hard-Corps)]","guiroliang","80x80","Video","","","308"
"","3536","3536","[#98360:Browny(cut)(Contra:Hard-Corps)]","guiroliang","80x80","Video","","","309"
"","4277","3920","[#103453:Miu Iruma]","ered","80x80","Anime","Video","","310"
"","3777","3462","[#122124:2pac - All Eyez On Me]","makaveli","80x80","People","Music","","311"
"","3974","3643","[#131692:2PAC]","makaveli","80x80","People","Music","","312"
"","3937","3609","[#140934:Viktor]","Spike","80x80","Cartoon","Video","","313"
"","3157","3157","[#158149:Wow Blood Death Knight Emblem]","Vasakarat","80x80","Video","","","314"
"","3095","3095","[#174525:Mushroom]","Anono","80x80","Plants","","","315"
"","3588","3289","[#177779:Nia 3]","ohihi","80x80","Anime","Video","","316"
"","3150","3150","[#178491:Six Degrees of Inner Turbulence]","DGTheMii","80x80","Symbols","Music","","317"
"","3654","3349","[#178704:Melia 2]","ohihi","80x80","Anime","Video","","318"
