"0%","Puzzle ID:Puzzle Name","Author","XP (before v21.0)","XP","MP","Color B/W","Size","Category 1","Category 2","Puzzle type","Added"
"","[#168529:Rengoku]","the agreste","3138","2876","58","color","80x80","Anime","","","90"
"","[#175283:Arcanine x Typhlosion]","FuryBreaker","3024","2772","56","color","80x80","Super","","","91"
"","[#70236:Raven 5]","Schaetzli","3226","2957","60","color","75x80","Fiction","","","92"
"","[#125628:Pretty Girl]","duchau.vjp_pr0","3206","2959","60","color","80x80","People","Painting","","93"
"","[#176794:Pokemon Fusion]","FuryBreaker","3057","2802","57","color","80x75","Video","Super","","94"
"","[#175606:Pokemon Fusion]","FuryBreaker","3213","2945","59","color","80x77","Video","Super","","95"
"","[#172153:ZodiCapricorn]","Kimberly Edens","3245","2975","60","color","80x73","Horoscope","","","96"
"","[#28853:Leafeon]","Sephrenia","3253","2981","60","color","76x75","Super","","","97"
"","[#61924:Sailor Moon]","KOPOJIb","3250","2979","60","color","63x80","Anime","","","98"
"","[#147194:Watermelon]","the agreste","3203","2956","60","color","77x70","Plants","Food","","99"
"","[#78975:Sayaka Maizono]","Rimoluna","3110","2871","58","color","80x80","Anime","Video","","100"
"","[#196876:Kavinsky]","Daft_Bat_Punk","3047","2813","57","color","80x80","People","Music","","101"
"","[#46161:The Joker]","Dr._F.E.A.R.","3246","2976","60","color","67x80","Cartoon","Super","","102"
"","[#178730:block and flower]","Jir","3144","2882","58","color","80x80","Flowers","","","103"
"","[#171181:Deep deliriousness]","Mushroom-World","3015","2783","56","color","80x80","Unreal","Twilight","","104"
"","[#74859:UFOs over the city]","LuErdmann","3010","2779","56","color","80x80","Fiction","Houses","","105"
"","[#162470:Vintage Circus Clown 2]","kristin1973","3088","2831","57","color","78x80","People","","","106"
"","[#187731:Big toad]","K3915","3244","2995","60","color","80x80","Unreal","Japan","","107"
"","[#145163:Glaucus atlanticus]","NITORI","3094","2836","57","color","77x71","Fish","","","108"
"","[#187004:Kimetsu]","satosa","3205","2938","59","color","80x70","Anime","","","109"
"","[#186067:Hold the cheeks]","K0rv0","3222","2954","60","color","80x80","People","","","110"
"","[#185515:the god of longevity]","K3915","3209","2962","60","color","80x80","Fantasy","History","","111"
"","[#112989:The Last Judge(Hollow Knight Silksong)]","Jexabiel","3107","2848","57","color","80x80","Video","Unreal","","112"
"","[#83604:Chess - Scholar's mate]","Rdpc4","3012","2761","56","color","80x80","Games","","","113"
"","[#197622:Joltnine]","Hyperion914","3185","2920","59","color","78x74","Video","Super","","114"
"","[#198169:Makoto (Persona 5)]","Kelsy320","3123","2863","58","color","80x80","Anime","Video","","115"
"","[#119651:Just eat and level up (gangminhyeog)]","sia02","3099","2861","58","color","80x80","Cartoon","","","116"
"","[#197612:Pokemon Fusion]","FuryBreaker","3265","2993","60","color","73x68","Video","Super","","117"
"","[#184928:Lungs]","Ahmad Hisham","3098","2840","57","color","80x80","People","Music","","118"
"","[#166678:Mathilda]","zpxo","3185","2920","59","color","66x80","People","Photorealism","","119"
"","[#20786:Angioletto]","Artemisia Gentilesca","3149","2907","59","color","78x70","Kawaii","","","120"
"","[#198580:Pacha]","Maniak","3000","2750","55","color","80x80","Cats","","","121"
"","[#174430:FGO]","tellhiko","3040","2787","56","color","80x80","Kawaii","Anime","","122"
"","[#199513:windwheel aster]","yay dinengdeng","3006","2755","56","color","80x80","Video","Flowers","","123"
"","[#164639:SkullRose]","skullgirl","3164","2900","58","color","56x80","Flowers","","","124"
"","[#178940:QUEEN'SBLADE]","tellhiko","3175","2910","59","color","80x80","Kawaii","Anime","","125"
"","[#122706:Antiopa butterfly]","akjaZ","3153","2910","59","color","80x67","Insects","Photorealism","","126"
"","[#37196:peace]","horse2002","3098","2840","57","color","80x80","Symbols","","","127"
"","[#183960:Mosaic flower]","ScintillantB","3209","2942","59","color","74x80","Flowers","","","128"
"","[#200480:Pokemon Fusion]","FuryBreaker","3011","2760","56","color","80x72","Video","Super","","129"
"","[#201959:Donkey Kong]","Minecraft Cat","3167","2903","59","color","80x80","Video","","","130"
"","[#97034:Kid with kite]","DraKay","3118","2878","58","color","80x80","Twilight","Games","","131"
"","[#168514:Angry lama]","El'ka","3043","2789","56","color","80x80","Cartoon","Animals","","132"
"","[#31392:Dragon]","Asheran","3169","2905","59","color","80x80","Dragons","","","133"
"","[#144763:Tiger]","izi","3113","2854","58","color","80x80","Animals","","","134"
"","[#86941:Rias gremory]","LordOfChaos69","3138","2876","58","color","72x80","Anime","","","135"
"","[#163975:Papilio thaiwanus]","Schaetzli","3118","2858","58","color","79x80","Insects","","","136"
"","[#66592:Sonic vs mario]","Globain1997","3019","2767","56","color","80x80","Video","","","137"
"","[#201511:Pokemon Fusion]","FuryBreaker","3179","2914","59","color","79x73","Video","Super","","138"
"","[#30108:Milotic]","Sydybean","3195","2928","59","color","80x80","Super","","","139"
"","[#163670:Moon]","Negin1","3143","2881","58","color","80x75","Twilight","","","140"
"","[#33522:Reepicheep]","minkimandola","3264","2992","60","color","80x80","Movies","Fantasy","","141"
"","[#33487:Our love]","elleimagine","3194","2928","59","color","80x80","Love","","","142"
"","[#172612:Nurse dead by daylight]","Lola21","3242","2972","60","color","80x80","Video","Unreal","","143"
"","[#56027:Home sweet home]","pachidermis","3032","2798","56","color","80x80","Houses","","","144"
"","[#125549:Firework]","Chissella","3039","2786","56","color","80x80","Houses","Holidays","","145"
"","[#160169:I Solemnly Swear That I Am Up To No Good]","MaddieMooKittern","3056","2801","57","color","75x77","Movies","Adventures","","146"
"","[#113681:Big cat, Jaguar]","llitvaxes","3197","2931","59","color","80x80","Animals","","","147"
"","[#83983:Aussie-Dex - 123 - Billblizzard]","Schaetzli","2907","~2664","54","color","80x80","Unreal","","","148"
"","[#169719:CDXXXII]","Urszula","2730","~2520","51","color","80x80","Designs","","","149"
"","[#169959:Happy The Horse]","Mushroom-World","2946","2946","60","color","80x80","Unreal","Twilight","","150"
"","[#97975:Dolores Abernathy]","Dracob","2705","2705","60","color","80x80","Movies","Photorealism","","151"
"","[#169502:Superheros 1]","fafe19","2806","2806","57","color","80x80","Kawaii","Super","","152"
"","[#163973:Papilio hermosanus]","Schaetzli","2804","~2588","52","color","79x80","Insects","","","153"
"","[#107374:Cantons of Switzerland]","Vladimir Grachev","2815","2815","57","color","80x80","Symbols","","","154"
"","[#169503:Superheros 3]","fafe19","2861","2861","58","color","80x80","Kawaii","Super","","155"
"","[#161004:Black Dragon's Hoard]","AshenThrone","2708","2482","50","color","80x80","Dragons","","","156"
"","[#166916:just a cat]","El'ka","2891","~2650","53","color","80x80","Cats","","","157"
"","[#76983:Pennypops 38]","Emilydrinkspiller","2031","~1861","38","color","80x80","Dragons","","","158"
"","[#170227:Squares for Sara 4]","sanote","2903","2903","59","color","80x80","Designs","","","159"
"","[#87092:Yui]","LordOfChaos69","2516","2516","51","color","78x80","Anime","","","160"
"","[#131693:Minion Bob]","Nono-Wawa","2937","2937","59","color","80x80","Cartoon","Super","","161"
"","[#170390:Squares]","Nomase","2616","2616","53","color","80x80","Designs","","","162"
"","[#72109:Maskd riddr KICK HOPPER]","ayakasumiria","2674","2674","60","color","80x80","Movies","Super","","163"
"","[#170208:Dory Unicorn]","Mushroom-World","2913","2913","60","color","80x80","Unreal","Twilight","","164"
"","[#61821:Alice Margatroid (PC-98)]","SonyNel","2361","~2179","44","color","80x80","Anime","Video","","165"
"","[#170462:Squares]","Nomase","2722","~2512","51","color","80x80","Designs","","","166"
"","[#102063:Butterfly morfo]","akjaZ","1951","1951","40","color","80x52","Insects","Photorealism","","167"
"","[#60968:Shion Yorigami]","SonyNel","2310","~2117","43","color","80x80","Anime","Video","","168"
"","[#163614:Angry Emilia]","PoulpoGaz","2525","~2314","47","color","80x80","Anime","","","169"
"","[#27780:Venecian Mask]","belko61","2890","2890","60","color","80x80","Around","History","","170"
"","[#170646:The magic cow fart]","Mushroom-World","2787","2787","60","color","80x80","Unreal","Twilight","","171"
"","[#170688:Alsatian]","Mike1955","2658","2658","54","color","80x80","Dogs","Photorealism","","172"
"","[#167534:Squares CCXXV]","Urszula","2505","~2296","46","color","80x80","Designs","","","173"
"","[#17608:Friend]","FML81","2652","2652","54","color","80x79","Dogs","","","174"
"","[#131842:Wild budgerigars]","Claireskee","2740","2740","55","color","70x70","Birds","","","175"
"","[#149893:Storm]","vallyvaly","2601","2401","49","color","80x80","Nature","","","176"
"","[#86669:Angel Dust Hazbin Hotel]","Spanette","2689","2465","50","color","80x80","Cartoon","Unreal","","177"
"","[#127819:Zombie Highschool series]","ENGINEER","2676","~2453","50","color","80x80","Anime","Video","","178"
"","[#167808:My Little Pony MLP]","SnowFoxTV","2670","~2447","49","color","80x80","Cartoon","Unreal","","179"
"","[#32840:Father Frost and Snowmaid]","belko61","2531","2531","51","color","75x80","Unreal","Holidays","","180"
"","[#165500:Rainbow Serpents]","Mike1955","2756","2756","56","color","80x80","Unreal","Designs","","181"
"","[#122872:by MARINA]","neonogrammer","2817","~2582","52","color","75x76","People","Music","","182"
"","[#154596:Geisha]","Viio","2886","~2645","53","color","80x80","People","Japan","","183"
"","[#98138:Forever Marilyn]","belko61","2494","2494","60","color","80x80","Movies","People","","184"
"","[#123776:Pomegranates]","minkimandola","2516","2516","51","color","80x70","Plants","","","185"
"","[#160590:02 Taurus]","GraLiPeYo","2803","2803","60","color","80x80","Painting","Horoscope","","186"
"","[#21998:Anatomical heart]","Street Fighter","2897","2897","60","color","60x80","Science","","","187"
"","[#138916:alpine kea parrot]","Sbjortg","2790","2790","56","color","80x79","Birds","","None","188"
"","[#160593:03 Gemini]","GraLiPeYo","2905","2905","60","color","80x80","Painting","Horoscope","","189"
"","[#110919:Talonflame]","HiKo","2611","2611","53","color","78x78","Super","","None","190"
"","[#157397:Chic chihuahua]","RNKT16","2488","2488","50","color","77x79","Dogs","","","191"
"","[#172241:Watercolour Pink Cockatoo]","Mike1955","2869","2869","60","color","80x80","Birds","Painting","","192"
"","[#109192:Creepy Thing - 1.10]","Schaetzli","2738","2738","55","color","77x80","Unreal","","","193"
"","[#106432:Monster 11]","Schaetzli","2657","2657","54","color","77x80","Unreal","","","194"
"","[#102061:Butterfly]","akjaZ","2834","2834","57","color","80x77","Insects","Photorealism","","195"
"","[#88532:Ouka Yuuouji]","LordOfChaos69","2886","~2645","53","color","77x80","Anime","","","196"
"","[#159243:Freddy Mercury]","irazawa","2056","2056","60","color","80x80","People","Music","","197"
"","[#33849:Cubs]","Street Fighter","2557","2557","52","color","80x77","Animals","","","198"
"","[#139111:Owl on a Piano]","LaRoso","2588","~2372","48","color","60x80","Birds","Music","","199"
"","[#127774:Anubis]","Osoca","2712","~2486","50","color","78x80","Egypt","","","200"
"","[#124635:Kabuki]","ayaba","2585","2369","48","color","76x80","Japan","History","","201"
"","[#168022:Karera Sakunami]","Robin111","2891","~2650","53","color","80x76","Anime","","","202"
"","[#15364:Squirrel]","Aurelia Riddle","2745","2745","55","color","74x80","Animals","Photorealism","","203"
"","[#135881:Pink Calla Lilies]","belko61","1954","1954","40","color","55x80","Flowers","","","204"
"","[#104966:Halloween night]","RNKT16","2630","~2410","49","color","78x80","Twilight","Holidays","","205"
"","[#81786:Anchor]","L E B lll A","2749","2749","60","color","80x80","Ships","","","206"
"","[#170755:Wedding Palace]","Fluffles","2848","2848","60","color","80x80","Houses","Around","","207"
"","[#172958:Composition DVI]","Urszula","2806","~2590","52","color","80x80","Designs","","","208"
"","[#165762:Serpent]","Mike1955","2658","2658","60","color","80x80","Dragons","","","209"
"","[#127175:Fushia]","Claireskee","2610","2610","60","color","70x70","Flowers","","","210"
"","[#159148:Happy Halloween]","kristin1973","2949","2949","59","color","80x80","Holidays","","","211"
"","[#94093:Mecha - 02f]","Schaetzli","2755","2755","56","color","77x80","Fiction","","None","212"
"","[#85049:Rabbit 9]","Schaetzli","2679","2679","54","color","77x80","Unreal","Animals","None","213"
"","[#100120:Ace's Devil Fruit]","October","2574","2574","52","color","77x80","Anime","Plants","","214"
"","[#85412:Hermione]","mark93463","2476","2269","46","color","77x80","People","Photorealism","","215"
"","[#94094:Mecha - 02g]","Schaetzli","2486","2486","50","color","80x77","Fiction","","None","216"
"","[#91663:Indiana Jones]","Dracob","2626","2626","60","color","80x80","Movies","People","","217"
"","[#158939:Green Design (024)]","Stillfleet","2760","2760","48","color","80x80","Designs","","","218"
"","[#125837:Gorilla]","duchau.vjp_pr0","2751","2751","56","color","80x80","Animals","Photorealism","","219"
"","[#97520:Yu-gi-oh]","skirbs","2717","2717","60","color","80x80","Anime","Games","","220"
"","[#119630:Arcade]","sia02","2720","2720","60","color","80x80","Video","Painting","","221"
"","[#127225:Butterflies in the garden 3]","Monak","2454","2454","48","color","80x80","Insects","Designs","","222"
"","[#130135:Butterflies in the garden 11]","Monak","2897","2897","48","color","80x80","Insects","Designs","","223"
"","[#151785:Tiger]","Dracob","2932","2932","60","color","80x80","Animals","","","224"
"","[#156132:Light & L]","irazawa","2667","~2461","50","color","80x80","Anime","","","225"
"","[#140651:Kobe]","Spike","2811","2811","57","color","80x80","People","Sport","None","226"
"","[#131104:Cat in the garden 6]","Monak","2540","~2328","47","color","80x80","Cats","Designs","","227"
"","[#117468:Sadness]","Marianne1979","2672","2672","60","color","80x80","Photorealism","Smiles","","228"
"","[#173197:Squares]","Nomase","2756","2756","56","color","80x80","Designs","","","229"
"","[#172751:Maine coon cat]","timtim153","2838","~2601","53","color","80x80","Cats","Photorealism","","230"
"","[#174212:Intersection]","ozzzz","2870","2870","58","color","80x80","Designs","","","231"
"","[#153445:Fruit Plumbing]","Tapehead","2730","~2502","51","color","80x80","Designs","","","232"
"","[#150281:Dragons]","L E B lll A","1977","1977","48","color","80x80","Dragons","Designs","","233"
"","[#171899:Ai]","the agreste","2223","~2037","41","color","80x80","Anime","Music","","234"
"","[#161866:Yor Forger]","yukichi","2383","2383","60","color","80x80","Kawaii","Anime","","235"
"","[#162076:Captain America]","Late555","2700","2700","60","color","80x80","Movies","Super","","236"
"","[#155811:S3E09 Enjoy life (Adventure)]","WanLing","2256","~2068","42","color","80x80","Animals","Sport","","237"
"","[#108886:Exotika]","Michaelka","2598","2398","48","color","43x67","Animals","Painting","","238"
"","[#139550:Cat in the garden 24]","Monak","2983","2983","60","color","80x80","Cats","Flowers","","239"
"","[#168350:TMNT]","nubogalalakon","2803","2803","60","color","80x80","Cartoon","Video","","240"
"","[#90407:Barbapapa]","Barbapapa","2952","~2724","55","color","55x70","People","","","241"
"","[#159364:Animal 02]","WanLing","2962","2962","60","color","80x80","Animals","Designs","","242"
"","[#158668:+++Squares 134]","kata57","2967","2967","48","color","80x80","Designs","","","243"
"","[#157213:Better Call Saul]","Dracob","2993","2993","60","color","80x80","Movies","People","","244"
"","[#163208:German House]","Richardiii","2951","~2705","55","color","80x80","Houses","Around","","245"
"","[#104515:Robert Plant]","Akorna","2986","2986","60","color","80x80","People","Photorealism","","246"
"","[#40988:Narcissus]","Alexroma5","2974","2974","60","color","80x78","Flowers","","None","247"
"","[#166080:nekoramendou]","showma","2957","2729","55","color","80x75","Cats","","","248"
"","[#158934:Woven together]","AshenThrone","2996","2996","60","color","80x80","Designs","","","249"
"","[#53523:Otogi spirit agents]","Auruven","2958","2958","60","color","80x80","Anime","Video","","250"
"","[#54482:Otogi spirit agents]","Auruven","2988","2988","60","color","80x80","Anime","Video","","251"
"","[#154076:+++Squares 90]","kata57","2968","2968","60","color","80x80","Designs","","","252"
"","[#169750:Mushroom's Delirium - 2]","Mushroom-World","2985","2985","60","color","80x80","Unreal","Twilight","","253"
"","[#152317:Vecna]","Lysy Jan FOX","2954","2954","60","color","80x80","Movies","Unreal","","254"
"","[#126231:Zombie Highschool series]","ENGINEER","2988","2739","55","color","80x80","Video","People","","255"
"","[#134833:Frankenstein's Monster]","bigbri","2977","~2748","55","color","80x80","Movies","Unreal","","256"
"","[#91917:Sabito (Kimetu no Yaiba)]","futton","2970","~2722","55","color","80x80","Anime","","","257"
"","[#169829:16. Ben Chifley]","DGTheMii","2956","2956","60","color","80x80","People","History","","258"
"","[#26908:At the edge of the earth]","Street Fighter","2987","~2738","55","color","80x80","Nature","Houses","","259"
"","[#102971:The Radiance(Hollow Knight)]","Jexabiel","2951","2724","55","color","80x80","Video","Unreal","","260"
"","[#133582:Torterra]","borealis","2980","~2731","55","color","77x78","Video","","","261"
"","[#28811:Flareon]","Sephrenia","2966","~2737","55","color","80x80","Super","","","262"
"","[#78095:Bouquet]","nadiakaz","2967","2967","60","color","78x78","Flowers","","","263"
"","[#88672:Trellis of Flowers]","Alexroma5","2968","2968","60","color","78x78","Flowers","Painting","","264"
"","[#165258:Squares CXCV]","Urszula","2957","2957","60","color","80x80","Designs","","","265"
"","[#112112:Lilies]","Vasilek23","2960","2960","60","color","80x80","Flowers","","","266"
"","[#146075:Jennifer Lopez (J.Lo Album Cover]","Dimsum","2956","~2709","55","color","70x70","People","Music","","267"
"","[#130334:Blue Rose]","KUKSYAA","2959","~2712","55","color","67x74","Flowers","Painting","","268"
"","[#53363:Bishoujo Senshi Sailor Moon]","Street Fighter","2996","~2746","55","color","80x75","Anime","","","269"
"","[#174466:Cenobite killer dead by daylight]","Lola21","2995","2995","60","color","80x80","Video","Unreal","","270"
"","[#175424:Kimetsu no Yaiba]","nubogalalakon","2970","2970","60","color","80x80","Anime","","","271"
"","[#158705:Izuku Midoriya]","irazawa","2507","2507","60","color","80x80","Anime","","","272"
"","[#159394:Animal 07]","WanLing","2805","2805","60","color","80x80","Animals","","","273"
"","[#120796:Sakura]","TP4","2996","2996","60","color","60x70","Plants","","","274"
"","[#171048:From Relaxation - BW193]","Mushroom-World","2995","~2764","56","color","79x79","Designs","","","275"
"","[#50545:Koala]","RNKT16","2952","2952","60","color","73x80","Animals","Photorealism","","276"
"","[#174971:Intersection]","ozzzz","2897","2897","48","color","80x80","Designs","","","277"
"","[#174056:Squares]","Nomase","2402","2402","48","color","80x80","Designs","","","278"
"","[#174165:Squares]","Nomase","2354","2354","48","color","80x80","Designs","","","279"
"","[#150168:Blue squares]","Nomase","2877","2877","48","color","80x80","Designs","","","280"
"","[#155079:Green and blue squares]","Nomase","2558","~2361","48","color","80x80","Designs","","","281"
"","[#154656:+++Squares 100]","kata57","2821","2821","48","color","80x80","Designs","","","282"
"","[#172448:Porcupine Tree - In Absentia]","chilvo","2565","~2367","48","color","80x80","Symbols","Music","","283"
"","[#150583:+++No Squares 2]","kata57","2952","2952","60","color","80x80","Designs","","","284"
"","[#151361:4 colors squares]","Nomase","2953","2953","60","color","80x80","Designs","","","285"
"","[#61538:No Game No Life]","Auruven","2964","~2717","55","color","75x80","Anime","","","286"
"","[#170858:30. Scott Morrison]","DGTheMii","1369","1369","28","color","80x80","People","History","","287"
"","[#28575:Teacup Teddy]","RNKT16","2931","~2686","54","color","80x80","Kawaii","","","288"
"","[#175610:God's Eye VI]","MimiSedai","2697","2697","48","color","80x80","Designs","","","289"
"","[#196194:Coffin Dance-Smiles]","Elementor9454","2873","2873","60","color","80x80","People","Smiles","","290"
"","[#160032:Pennywise]","Late555","2903","2903","60","color","80x80","Movies","Holidays","","291"
